Enter the date:
Enter the list of countries (end with an empty line):
Results:
Taiwan = 337612, 16 search operations, 7928 insert operations
Panama = 19956, 42 search operations, 7928 insert operations
Israel = <Not found>, 23 search operations, 7928 insert operations
Antigua and Barbuda = 91, 32 search operations, 7928 insert operations
Mongolia = 2987, 40 search operations, 7928 insert operations
Kiribati = 330, 44 search operations, 7928 insert operations
Chad = 1229, 28 search operations, 7928 insert operations
Australia = 238946, 24 search operations, 7928 insert operations
Jamaica = 2774, 42 search operations, 7928 insert operations
High income = 4944355, 40 search operations, 7928 insert operations
Bangladesh = 854891, 26 search operations, 7928 insert operations
Cambodia = 99300, 26 search operations, 7928 insert operations
Mexico = <Not found>, 21 search operations, 7928 insert operations
Sweden = 71257, 34 search operations, 7928 insert operations
Curacao = 267, 26 search operations, 7928 insert operations
Belgium = 49443, 26 search operations, 7928 insert operations
Cambodia = 99300, 26 search operations, 7928 insert operations
Cyprus = 3434, 34 search operations, 7928 insert operations
Kenya = 62640, 46 search operations, 7928 insert operations
Iceland = 1793, 40 search operations, 7928 insert operations
Kosovo = 4496, 48 search operations, 7928 insert operations
Zambia = 12751, 30 search operations, 7928 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 8919 insert operations
Switzerland = 32433, 34 search operations, 8919 insert operations
Grenada = 117, 34 search operations, 8919 insert operations
Taiwan = 337612, 16 search operations, 8919 insert operations
Panama = 19956, 42 search operations, 8919 insert operations
Israel = 11325, 48 search operations, 8919 insert operations
Antigua and Barbuda = 91, 32 search operations, 8919 insert operations
Mongolia = 2987, 40 search operations, 8919 insert operations
Kiribati = 330, 44 search operations, 8919 insert operations
Chad = 1229, 28 search operations, 8919 insert operations
Australia = 238946, 24 search operations, 8919 insert operations
Jamaica = 2774, 42 search operations, 8919 insert operations
High income = 4944355, 40 search operations, 8919 insert operations
Bangladesh = 854891, 26 search operations, 8919 insert operations
Cambodia = 99300, 26 search operations, 8919 insert operations
Mexico = 995625, 44 search operations, 8919 insert operations
Sweden = 71257, 34 search operations, 8919 insert operations
Curacao = 267, 26 search operations, 8919 insert operations
Belgium = 49443, 26 search operations, 8919 insert operations
Cambodia = 99300, 26 search operations, 8919 insert operations
Cyprus = 3434, 34 search operations, 8919 insert operations
Kenya = 62640, 46 search operations, 8919 insert operations
Iceland = 1793, 40 search operations, 8919 insert operations
Kosovo = 4496, 48 search operations, 8919 insert operations
Zambia = 12751, 30 search operations, 8919 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 9910 insert operations
Switzerland = 32433, 34 search operations, 9910 insert operations
Grenada = 117, 34 search operations, 9910 insert operations
Taiwan = 337612, 16 search operations, 9910 insert operations
Panama = 19956, 42 search operations, 9910 insert operations
Israel = 11325, 48 search operations, 9910 insert operations
Antigua and Barbuda = 91, 32 search operations, 9910 insert operations
Mongolia = 2987, 40 search operations, 9910 insert operations
Kiribati = 330, 44 search operations, 9910 insert operations
Chad = 1229, 28 search operations, 9910 insert operations
Australia = 238946, 24 search operations, 9910 insert operations
Jamaica = 2774, 42 search operations, 9910 insert operations
High income = 4944355, 40 search operations, 9910 insert operations
Bangladesh = 854891, 26 search operations, 9910 insert operations
Cambodia = 99300, 26 search operations, 9910 insert operations
Mexico = 995625, 44 search operations, 9910 insert operations
Sweden = 71257, 34 search operations, 9910 insert operations
Curacao = 267, 26 search operations, 9910 insert operations
Belgium = 49443, 26 search operations, 9910 insert operations
Cambodia = 99300, 26 search operations, 9910 insert operations
Cyprus = 3434, 34 search operations, 9910 insert operations
Kenya = 62640, 46 search operations, 9910 insert operations
Iceland = 1793, 40 search operations, 9910 insert operations
Kosovo = 4496, 48 search operations, 9910 insert operations
Zambia = 12751, 30 search operations, 9910 insert operations
