Enter the date:
Enter the list of countries (end with an empty line):
Results:
Guernsey = 65, 26 search operations, 5946 insert operations
Ireland = <Not found>, 20 search operations, 5946 insert operations
Germany = 300683, 36 search operations, 5946 insert operations
Liechtenstein = <Not found>, 27 search operations, 5946 insert operations
Guernsey = 65, 26 search operations, 5946 insert operations
Trinidad and Tobago = <Not found>, 15 search operations, 5946 insert operations
Europe = <Not found>, 11 search operations, 5946 insert operations
Armenia = <Not found>, 14 search operations, 5946 insert operations
High income = 4001294, 42 search operations, 5946 insert operations
Malta = 1764, 38 search operations, 5946 insert operations
South America = 2833576, 16 search operations, 5946 insert operations
Scotland = 7981, 36 search operations, 5946 insert operations
Madagascar = 5727, 42 search operations, 5946 insert operations
Portugal = <Not found>, 19 search operations, 5946 insert operations
Czechia = 27895, 26 search operations, 5946 insert operations
Spain = <Not found>, 17 search operations, 5946 insert operations
Portugal = <Not found>, 19 search operations, 5946 insert operations
Madagascar = 5727, 42 search operations, 5946 insert operations
Denmark = <Not found>, 18 search operations, 5946 insert operations
Norway = <Not found>, 24 search operations, 5946 insert operations
Djibouti = <Not found>, 13 search operations, 5946 insert operations
Uruguay = <Not found>, 13 search operations, 5946 insert operations
Uruguay = <Not found>, 13 search operations, 5946 insert operations
Kenya = <Not found>, 19 search operations, 5946 insert operations
Pakistan = <Not found>, 18 search operations, 5946 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 6937 insert operations
Romania = 17672, 30 search operations, 6937 insert operations
Trinidad and Tobago = <Not found>, 15 search operations, 6937 insert operations
Iran = <Not found>, 17 search operations, 6937 insert operations
Nicaragua = 31693, 50 search operations, 6937 insert operations
Guernsey = 65, 26 search operations, 6937 insert operations
Ireland = <Not found>, 20 search operations, 6937 insert operations
Germany = 300683, 36 search operations, 6937 insert operations
Liechtenstein = <Not found>, 27 search operations, 6937 insert operations
Guernsey = 65, 26 search operations, 6937 insert operations
Trinidad and Tobago = <Not found>, 15 search operations, 6937 insert operations
Europe = 2338363, 24 search operations, 6937 insert operations
Armenia = 7547, 30 search operations, 6937 insert operations
High income = 4001294, 42 search operations, 6937 insert operations
Malta = 1764, 38 search operations, 6937 insert operations
South America = 2833576, 16 search operations, 6937 insert operations
Scotland = 7981, 36 search operations, 6937 insert operations
Madagascar = 5727, 42 search operations, 6937 insert operations
Portugal = <Not found>, 19 search operations, 6937 insert operations
Czechia = 27895, 26 search operations, 6937 insert operations
Spain = <Not found>, 17 search operations, 6937 insert operations
Portugal = <Not found>, 19 search operations, 6937 insert operations
Madagascar = 5727, 42 search operations, 6937 insert operations
Denmark = <Not found>, 19 search operations, 6937 insert operations
Norway = 20959, 50 search operations, 6937 insert operations
Djibouti = 325, 30 search operations, 6937 insert operations
Uruguay = <Not found>, 13 search operations, 6937 insert operations
Uruguay = <Not found>, 13 search operations, 6937 insert operations
Kenya = <Not found>, 19 search operations, 6937 insert operations
Pakistan = <Not found>, 18 search operations, 6937 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 7928 insert operations
Romania = 17672, 30 search operations, 7928 insert operations
Trinidad and Tobago = <Not found>, 15 search operations, 7928 insert operations
Iran = <Not found>, 17 search operations, 7928 insert operations
Nicaragua = 31693, 50 search operations, 7928 insert operations
Guernsey = 65, 26 search operations, 7928 insert operations
Ireland = <Not found>, 20 search operations, 7928 insert operations
Germany = 300683, 36 search operations, 7928 insert operations
Liechtenstein = <Not found>, 28 search operations, 7928 insert operations
Guernsey = 65, 26 search operations, 7928 insert operations
Trinidad and Tobago = <Not found>, 15 search operations, 7928 insert operations
Europe = 2338363, 24 search operations, 7928 insert operations
Armenia = 7547, 30 search operations, 7928 insert operations
High income = 4001294, 42 search operations, 7928 insert operations
Malta = 1764, 38 search operations, 7928 insert operations
South America = 2833576, 16 search operations, 7928 insert operations
